Algorithm,Balanced Acc,Overall Acc,Macro F1,Stable F1,Death Recall,Death Prec,Death F1,ESRD Recall,ESRD F1
Gradient Boosting,0.6708,0.6563,0.5904,0.7791,0.2653,0.2072,0.2327,1.0000,0.7595
XGBoost,0.6537,0.6794,0.5809,0.8010,0.2015,0.1946,0.1980,0.9667,0.7436
Logistic Regression,0.6523,0.5611,0.5510,0.6901,0.3520,0.1821,0.2400,1.0000,0.7229
Random Forest,0.6480,0.6403,0.5710,0.7679,0.2449,0.1853,0.2110,0.9667,0.7342
SVM (RBF),0.6414,0.5716,0.4185,0.7111,0.2908,0.1881,0.2285,1.0000,0.3158
LightGBM,0.6398,0.7009,0.5685,0.8201,0.1531,0.1846,0.1674,0.9333,0.7179
